"id","session_id","user_message","ai_response","created_at"
"1","session_1767131020550","Tell me about quartzite countertops","Thank you for your interest in LJ Stone Surfaces! Please contact us at 0800-STONE.","NOW()"
"2","session_1767596256226","hello anyone able to help me","Chat functionality is temporarily disabled for maintenance.","NOW()"
"3","session_1767607733215","you covered some of the glass with the stone","Maintenance Mode.","NOW()"
"4","session_1767616486803","HELLO HOW SOON CAN I SPEAK WITH SOMEONE ","Maintenance Mode.","NOW()"
"5","session_1767617801351","HELLO CAN I SPEAK WITH SALES TEAM?","Maintenance Mode.","NOW()"
"6","session_1767641185571","CAN I SPEAK WITH SALES ","Maintenance Mode.","NOW()"
"7","session_1767644683990","HI IS THEREBSALES TEAM AVAILABLE?","Maintenance Mode.","NOW()"
"8","session_1767647744332","Hello, is the AI connected?","Thank you for your message. I am currently connecting to the knowledge base. Please ask again in a moment, or fill out the quote form!","NOW()"
"9","session_1767647775350","Hello, are you online in the cloud?","Thank you for your message. I am currently connecting to the knowledge base. Please ask again in a moment, or fill out the quote form!","NOW()"
"10","session_1767649101980","HELLO CAN I SPEAK TO SALES","Maintenance Mode.","NOW()"
"11","session_1767649111718","WHAT DO YOU DO?","Maintenance Mode.","NOW()"
